ActivityDay,Calories
8/20/2022,2142
8/21/2022,2906
8/22/2022,3212
8/23/2022,2853
8/24/2022,2605
8/25/2022,2802
8/26/2022,2780
8/27/2022,2164
8/28/2022,1639
8/29/2022,1555
8/30/2022,2027
8/31/2022,2479
9/1/2022,2123
9/2/2022,2489
9/3/2022,2265
9/4/2022,2795
9/5/2022,2821
9/6/2022,2812
9/7/2022,2281
9/8/2022,2428
9/9/2022,2382
9/10/2022,2588
9/11/2022,2517
9/12/2022,3129
9/13/2022,2366
9/14/2022,2502
9/15/2022,2487
9/16/2022,2303
9/17/2022,2753
9/18/2022,2533
9/19/2022,2087
9/20/2022,2729
9/21/2022,2589
9/22/2022,2485
9/23/2022,2541
9/24/2022,2324
9/25/2022,2930
9/26/2022,2932
9/27/2022,2517
9/28/2022,2606
9/29/2022,2112
9/30/2022,2162
10/1/2022,2810
10/2/2022,3608
10/3/2022,2138
10/4/2022,2245
10/5/2022,2094
10/6/2022,1977
10/7/2022,2662
10/8/2022,2143
10/9/2022,1759
10/10/2022,1932
10/11/2022,1921
10/12/2022,2371
10/13/2022,2104
10/14/2022,2279
10/15/2022,2947
10/16/2022,2295
10/17/2022,2463
10/18/2022,2835
10/19/2022,2320
10/20/2022,2365
10/21/2022,2306
10/22/2022,2399
10/23/2022,2773
10/24/2022,2869
10/25/2022,3012
10/26/2022,3080
10/27/2022,2736
10/28/2022,2817
10/29/2022,2571
10/30/2022,3088
10/31/2022,2495
11/1/2022,2493
11/2/2022,2620
11/3/2022,2093
11/4/2022,2325
11/5/2022,2847
11/6/2022,2711
11/7/2022,2312
11/8/2022,2353
11/9/2022,2781
11/10/2022,2358
11/11/2022,2539
11/12/2022,2519
11/13/2022,2817
11/14/2022,2128
11/15/2022,2808
11/16/2022,2759
11/17/2022,2861
11/18/2022,2585
11/19/2022,3145
11/20/2022,2150
11/21/2022,2273
11/22/2022,2171
11/23/2022,2768
11/24/2022,2306
11/25/2022,2557
11/26/2022,2484
11/27/2022,2508
11/28/2022,2855
11/29/2022,2881
11/30/2022,2118
12/1/2022,2718
12/2/2022,2600
12/3/2022,2173
12/4/2022,2501
12/5/2022,2933
12/6/2022,2573
12/7/2022,2841
12/8/2022,2452
12/9/2022,2725
12/10/2022,2720
12/11/2022,2735
12/12/2022,2957
12/13/2022,2709
12/14/2022,2841
12/15/2022,2775
12/16/2022,2744
12/17/2022,2558
12/18/2022,2592
12/19/2022,2945
12/20/2022,2716
12/21/2022,2731
12/22/2022,3505
12/23/2022,3022
12/24/2022,2358
12/25/2022,2559
12/26/2022,2157
12/27/2022,2487
12/28/2022,2757
12/29/2022,3451
12/30/2022,2662
12/31/2022,2541
1/1/2023,3291
1/2/2023,2547
1/3/2023,2331
1/4/2023,1868
1/5/2023,1551
1/6/2023,1551
1/7/2023,1551
